4122,-8665
2983,-9103
4078,-7400
2840,-8128
4477,-9948
1940,-9915
5492,-150
-2290,-4325
-3467,-5840
5150,-17
5003,857
4886,234
5623,3743
5960,1766
4199,1323
5560,1011
5251,504
4198,2885
6099,2492
4063,-345
5270,2076
6008,1077
3565,13966
3421,13623
2852,7713
3762,12695
-626,10681
3974,11644
3116,12145
2233,11415
1366,10048
2506,12153
2098,10578
1459,12095
315,10166
-3394,1829
2466,4668
3371,-8437
3344,-11211
3996,-8301
3996,-7518
3523,-8085
4231,-8304
3974,-10500
4552,-12267
3862,-9020
3614,-8679
4360,-7938